position,company_name,alternate_name,company_url,image_url,rating,rating_count,industry_and_location,highlights,reviews_count,salaries_count,interviews_count,jobs_count,benefits_count,photos_count
4,Conneqt Business Solutions,Conneqt Business Solutions overview,https://www.ambitionbox.com/overview/conneqt-business-solutions-overview,https://static.ambitionbox.com/alpha/company/photos/logos/conneqt-business-solutions.jpg,3.6,(10.1k),BPO | Hyderabad / Secunderabad +266 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",10.1k,26.6k,545,363,772,47
5,Mphasis,Mphasis overview,https://www.ambitionbox.com/overview/mphasis-overview,https://static.ambitionbox.com/alpha/company/photos/logos/mphasis.jpg,3.3,(10k),IT Services & Consulting | Bangalore / Bengaluru +63 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",10k,73.3k,903,29,846,124
6,Yes Bank,Yes Bank overview,https://www.ambitionbox.com/overview/yes-bank-overview,https://static.ambitionbox.com/alpha/company/photos/logos/yes-bank.jpg,3.7,(9.9k),Banking | Mumbai +540 other locations,"Critically Rated For Job Security, Promotions / Appraisal, Company Culture",9.9k,43.3k,537,199,608,18
7,Tata Steel,TATA Steel,https://www.ambitionbox.com/overview/tata-steel-overview,https://static.ambitionbox.com/alpha/company/photos/logos/tata-steel.jpg,4.0,(9.7k),Iron & Steel | Jamshedpur +226 other locations,"Highly Rated For Work Life Balance, Job Security, Company Culture Critically Rated For Promotions / Appraisal",9.7k,33.8k,1k,--,659,50
8,Quess,Quess overview,https://www.ambitionbox.com/overview/quess-overview,https://static.ambitionbox.com/alpha/company/photos/logos/quess.jpg,3.8,(9.5k),Recruitment | Bangalore / Bengaluru +740 other locations,"Critically Rated For Promotions / Appraisal, Job Security",9.5k,30.5k,518,3,440,22
9,Asian Paints,Asian Paints overview,https://www.ambitionbox.com/overview/asian-paints-overview,https://static.ambitionbox.com/alpha/company/photos/logos/asianpaints.jpg,3.9,(9.3k),Chemicals | Mumbai +548 other locations,"Highly Rated For Salary & Benefits, Skill Development / Learning, Job Security Critically Rated For Promotions / Appraisal",9.3k,24.9k,818,52,884,34
10,Startek,Startek overview,https://www.ambitionbox.com/overview/startek-overview,https://static.ambitionbox.com/alpha/company/photos/logos/startek_565351.jpg,3.1,(9.3k),BPO | Bangalore / Bengaluru +107 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Salary & Benefits",9.3k,24.5k,606,136,681,16
11,UltraTech Cement,UltraTech Cement overview,https://www.ambitionbox.com/overview/ultratech-cement-overview,https://static.ambitionbox.com/alpha/company/photos/logos/ultratech-cement.jpg,4.1,(9.1k),Building Material | Mumbai +533 other locations,"Highly Rated For Job Security, Skill Development / Learning, Company Culture Critically Rated For Promotions / Appraisal",9.1k,24.1k,760,22,619,46
12,Paytm,PayTM,https://www.ambitionbox.com/overview/paytm-overview,https://static.ambitionbox.com/alpha/company/photos/logos/paytm-565.jpg,3.2,(9.1k),FinTech | Noida +416 other locations,"Critically Rated For Job Security, Promotions / Appraisal, Company Culture",9.1k,33.5k,871,519,582,24
13,Shriram Finance,shri ram finance,https://www.ambitionbox.com/overview/shriram-finance-overview,https://static.ambitionbox.com/alpha/company/photos/logos/shri-ram-finance.jpg,4.0,(8.9k),NBFC | Chennai +1105 other locations,"Highly Rated For Job Security, Company Culture, Work Life Balance Critically Rated For Promotions / Appraisal",8.9k,15k,427,6,21,44
14,Bajaj Finance,Bajaj fainance,https://www.ambitionbox.com/overview/bajaj-finance-overview,https://static.ambitionbox.com/alpha/company/photos/logos/bajaj-fainance.jpg,3.9,(8.8k),NBFC | Pune +962 other locations,"Highly Rated For Salary & Benefits, Skill Development / Learning, Job Security",8.8k,22.5k,408,4.2k,502,14
15,Maruti Suzuki,Maruti Suzuki India Limited,https://www.ambitionbox.com/overview/maruti-suzuki-overview,https://static.ambitionbox.com/alpha/company/photos/logos/maruti-suzuki.jpg,4.2,(8.8k),Automobile | Gurgaon / Gurugram +441 other locations,"Highly Rated For Job Security, Salary & Benefits, Company Culture",8.8k,27.3k,746,700,977,25
16,Sutherland Global Services,Sutherland Global Services overview,https://www.ambitionbox.com/overview/sutherland-global-services-overview,https://static.ambitionbox.com/alpha/company/photos/logos/sutherland.jpg,3.4,(8.7k),BPO | Chennai +81 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",8.7k,34.2k,767,304,901,30
17,Equitas Small Finance Bank,Equitas Small Finance Bank overview,https://www.ambitionbox.com/overview/equitas-small-finance-bank-overview,https://static.ambitionbox.com/alpha/company/photos/logos/equitas-small-finance-bank.jpg,4.4,(8.6k),Banking | Chennai +475 other locations,"Highly Rated For Company Culture, Work Life Balance, Job Security",8.6k,13.2k,809,26,397,32
18,EXL Service,EXL Service overview,https://www.ambitionbox.com/overview/exl-service-overview,https://static.ambitionbox.com/alpha/company/photos/logos/exl-service.jpg,3.6,(8.5k),Analytics & KPO | Noida +63 other locations,"Highly Rated For Job Security Critically Rated For Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",8.5k,44.1k,881,1.4k,799,20
19,Cipla,cipla pharmaceutical ltd,https://www.ambitionbox.com/overview/cipla-overview,https://static.ambitionbox.com/alpha/company/photos/logos/cipla-pharmaceutical-ltd.jpg,4.1,(8.4k),Pharma | Mumbai +290 other locations,"Highly Rated For Salary & Benefits, Work Life Balance, Skill Development / Learning",8.4k,25.8k,572,74,850,20
20,Ericsson,Ericsson overview,https://www.ambitionbox.com/overview/ericsson-overview,https://static.ambitionbox.com/alpha/company/photos/logos/ericsson.jpg,3.9,(8.3k),Telecom | Noida +162 other locations,"Highly Rated For Company Culture, Work Life Balance Critically Rated For Promotions / Appraisal, Salary & Benefits",8.3k,42.6k,463,50,998,17
1,Samsung,Samsung overview,https://www.ambitionbox.com/overview/samsung-overview,https://static.ambitionbox.com/alpha/company/photos/logos/samsung.jpg,3.9,(8.3k),Consumer Electronics & Appliances | Noida +579 other locations,Highly Rated For Salary & Benefits Critically Rated For Promotions / Appraisal,8.3k,26.2k,611,27,520,16
2,Wells Fargo,Wells Fargo overview,https://www.ambitionbox.com/overview/wells-fargo-overview,https://static.ambitionbox.com/alpha/company/photos/logos/wells-fargo.jpg,3.7,(8.2k),Financial Services | Bangalore / Bengaluru +28 other locations,"Highly Rated For Work Life Balance Critically Rated For Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",8.2k,56.1k,672,69,855,13
3,Dr. Reddy's,Dr. Reddys Laboratories,https://www.ambitionbox.com/overview/dr-dot-reddys-overview,https://static.ambitionbox.com/alpha/company/photos/logos/dr-dot-reddys.jpg,4.0,(8.1k),Pharma | Hyderabad / Secunderabad +213 other locations,"Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance Critically Rated For Promotions / Appraisal",8.1k,25.9k,486,18,740,28
4,Optum Global Solutions,Optum Global Solutions overview,https://www.ambitionbox.com/overview/optum-global-solutions-overview,https://static.ambitionbox.com/alpha/company/photos/logos/optum-global-solutions.jpg,4.0,(7.7k),IT Services & Consulting | Hyderabad / Secunderabad +68 other locations,"Highly Rated For Job Security, Work Life Balance, Company Culture Critically Rated For Promotions / Appraisal",7.7k,48.3k,743,58,686,1
5,Delhivery,Delhivery overview,https://www.ambitionbox.com/overview/delhivery-overview,https://static.ambitionbox.com/alpha/company/photos/logos/delhivery-551.jpg,3.8,(7.6k),Logistics | Gurgaon / Gurugram +746 other locations,Critically Rated For Promotions / Appraisal,7.6k,21.1k,594,158,656,66
6,ICICI Prudential Life Insurance,ICICI Prudential Life Insurance overview,https://www.ambitionbox.com/overview/icici-prudential-life-insurance-overview,https://static.ambitionbox.com/alpha/company/photos/logos/icici-prudential-life-insurance.jpg,4.0,(7.6k),Insurance | Mumbai +504 other locations,"Highly Rated For Job Security, Salary & Benefits, Skill Development / Learning",7.6k,23.1k,465,283,625,11
7,JPMorgan Chase & Co.,JP Morgan Chase,https://www.ambitionbox.com/overview/jpmorgan-chase-and-co-dot-overview,https://static.ambitionbox.com/alpha/company/photos/logos/jp-morgan-chase.jpg,3.8,(7.6k),Financial Services | Bangalore / Bengaluru +55 other locations,"Highly Rated For Job Security, Salary & Benefits Critically Rated For Promotions / Appraisal",7.6k,84.2k,844,655,844,14
8,HGS,HGS overview,https://www.ambitionbox.com/overview/hinduja-global-solutions-overview,https://static.ambitionbox.com/alpha/company/photos/logos/hinduja-global-solutions.jpg,3.8,(7.5k),BPO | Bangalore / Bengaluru +121 other locations,"Highly Rated For Job Security Critically Rated For Promotions / Appraisal, Salary & Benefits",7.5k,20.9k,268,14,968,32
9,JSW Steel,JSW Steel overview,https://www.ambitionbox.com/overview/jsw-steel-overview,https://static.ambitionbox.com/alpha/company/photos/logos/jsw_steel.jpg,3.9,(7.5k),Iron & Steel | Ballari +195 other locations,"Highly Rated For Job Security, Skill Development / Learning Critically Rated For Promotions / Appraisal",7.5k,30.1k,776,93,600,32
10,Jana Small Finance Bank,Janalakshmi Financial Services,https://www.ambitionbox.com/overview/jana-small-finance-bank-overview,https://static.ambitionbox.com/alpha/company/photos/logos/janalakshmi-financial-services-2511.jpg,3.8,(7.5k),Banking | Bangalore / Bengaluru +419 other locations,Highly Rated For Salary & Benefits Critically Rated For Promotions / Appraisal,7.5k,14.4k,301,59,623,16
11,Sun Pharmaceutical Industries,Sun Pharmaceutical Industries overview,https://www.ambitionbox.com/overview/sun-pharmaceutical-industries-overview,https://static.ambitionbox.com/alpha/company/photos/logos/sun-pharmaceutical-industries.jpg,4.1,(7.4k),Pharma | Vadodara +263 other locations,"Highly Rated For Salary & Benefits, Job Security, Skill Development / Learning",7.4k,23.3k,638,306,594,17
12,Amazon Development Centre India,AMAZON DEVELOPMENT CENTRE INDIA PVT LTD,https://www.ambitionbox.com/overview/amazon-development-centre-india-pvt-ltd-overview,https://static.ambitionbox.com/alpha/company/photos/logos/amazon-development-centre-india-pvt-ltd.jpg,3.8,(7.4k),Internet | Hyderabad / Secunderabad +146 other locations,"Highly Rated For Company Culture, Work Life Balance Critically Rated For Promotions / Appraisal",7.4k,38.2k,864,8,20,12
13,Hexaware Technologies,Hexaware Technologies overview,https://www.ambitionbox.com/overview/hexaware-technologies-overview,https://static.ambitionbox.com/alpha/company/photos/logos/hexaware-technologies.jpg,3.4,(7.4k),IT Services & Consulting | Chennai +66 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",7.4k,53.1k,809,686,547,28
14,Ujjivan Small Finance Bank,ujjivan small finance bank,https://www.ambitionbox.com/overview/ujjivan-small-finance-bank-overview,https://static.ambitionbox.com/alpha/company/photos/logos/ujjivan-small-finance-bank.jpg,4.0,(7.3k),Banking | Bangalore / Bengaluru +531 other locations,"Highly Rated For Company Culture, Work Life Balance, Job Security",7.3k,13.1k,307,164,579,24
15,Lupin,Lupin overview,https://www.ambitionbox.com/overview/lupin-overview,https://static.ambitionbox.com/alpha/company/photos/logos/lupin-ltd.jpg,4.1,(7.2k),Pharma | Pune +203 other locations,"Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance Critically Rated For Promotions / Appraisal",7.2k,22.5k,431,46,764,11
16,Zydus Lifesciences,Zydus Cadila,https://www.ambitionbox.com/overview/zydus-lifesciences-overview,https://static.ambitionbox.com/alpha/company/photos/logos/zydus-cadila.jpg,3.9,(7.2k),Pharma | Ahmedabad +175 other locations,"Highly Rated For Salary & Benefits, Skill Development / Learning",7.2k,19.8k,405,26,605,21
17,L&T Construction,L&T Construction overview,https://www.ambitionbox.com/overview/l-and-t-construction-overview,https://static.ambitionbox.com/alpha/company/photos/logos/l-and-t-construction.jpg,4.0,(7.2k),Engineering & Construction | Chennai +428 other locations,"Highly Rated For Job Security, Skill Development / Learning, Salary & Benefits Critically Rated For Work Life Balance, Promotions / Appraisal",7.2k,19k,933,--,929,34
18,Ekart Logistics,Ekart Logistics overview,https://www.ambitionbox.com/overview/ekart-logistics-overview,https://static.ambitionbox.com/alpha/company/photos/logos/ekart-logistics-201286.jpg,3.9,(7.1k),Logistics | Bangalore / Bengaluru +737 other locations,Highly Rated For Skill Development / Learning Critically Rated For Promotions / Appraisal,7.1k,15.8k,399,--,422,74
19,Hindustan Unilever,Unilever,https://www.ambitionbox.com/overview/hindustan-unilever-overview,https://static.ambitionbox.com/alpha/company/photos/logos/unilever.jpg,4.2,(7.1k),FMCG | Mumbai +528 other locations,"Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance Critically Rated For Promotions / Appraisal",7.1k,19.9k,451,18,704,3
